// Start Time: Unknown
// Update Rate: Various
// Filter Profile: Error: No XDA filter profile
// Option Flags: AHS Disabled ICC Disabled 
// Firmware Version: 1.3.7
PacketCounter;SampleTimeFine;Acc_X;Acc_Y;Acc_Z;VelInc_X;VelInc_Y;VelInc_Z;OriInc_q0;OriInc_q1;OriInc_q2;OriInc_q3;Roll;Pitch;Yaw;Latitude;Longitude;Altitude;Vel_X;Vel_Y;Vel_Z
00001;1217159;-0.043067;0.029067;9.745497;;;;;;;;;;;;;0.000000;;;
00002;1217184;-0.065873;0.045835;9.793155;;;;;;;;;;;;;0.000000;;;
00003;1217209;-0.072598;0.053512;9.768054;;;;;;;;;;;;;0.000000;;;
00004;1217234;-0.084139;0.039826;9.779819;;;;;;;;;;;;;0.000000;;;
00005;1217259;-0.047647;0.026849;9.782964;;;;;;;;;;;;;0.000000;;;
00006;1217284;-0.055057;0.034721;9.760259;;;;;;;;;;;;;0.000000;;;
00007;1217309;-0.056540;0.035011;9.777538;;;;;;;;;;;;;0.000000;;;
00008;1217334;-0.065970;0.049189;9.772462;;;;;;;;;;;;;0.000000;;;
00009;1217359;-0.052692;0.025360;9.762839;;;;;;;;;;;;;0.000000;;;
00010;1217384;-0.032112;0.031852;9.766573;;;;;;;;;;;;;0.000000;;;
00011;1217409;-0.061870;0.026019;9.795926;;;;;;;;;;;;;0.000000;;;
00012;1217434;-0.053216;0.033879;9.765557;;;;;;;;;;;;;0.000000;;;
00013;1217459;-0.065766;0.063002;9.773170;;;;;;;;;;;;;0.000000;;;
00014;1217484;-0.055882;0.066955;9.755346;;;;;;;;;;;;;0.000000;;;
00015;1217509;-0.063640;0.029906;9.762722;;;;;;;;;;;;;0.000000;;;
00016;1217534;-0.057509;0.048074;9.768157;;;;;;;;;;;;;0.000000;;;
00017;1217559;-0.044040;0.053530;9.749850;;;;;;;;;;;;;0.000000;;;
00018;1217584;-0.031102;0.020575;9.771111;;;;;;;;;;;;;0.000000;;;
00019;1217609;-0.021102;0.034658;9.751165;;;;;;;;;;;;;0.000000;;;
00020;1217634;-0.047189;0.022683;9.776807;;;;;;;;;;;;;0.000000;;;
00021;1217659;-0.023086;-0.004380;9.752851;;;;;;;;;;;;;0.000000;;;
00022;1217684;-0.043403;0.046918;9.758142;;;;;;;;;;;;;0.000000;;;
00023;1217709;-0.017554;0.054232;9.780582;;;;;;;;;;;;;0.000000;;;
00024;1217734;-0.043496;0.054689;9.777172;;;;;;;;;;;;;0.000000;;;
00025;1217759;-0.060805;0.060062;9.742030;;;;;;;;;;;;;0.000000;;;
00026;1217784;-0.060453;0.046514;9.751884;;;;;;;;;;;;;0.000000;;;
00027;1217809;-0.044808;0.041964;9.782203;;;;;;;;;;;;;0.000000;;;
